"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","exploration_fraction","history_len","lr","nb_timesteps","optimization_mode","problem","problemclass_eval","problemclass_train","reward_system","agent_count","agent_score","all_optimizer_count.Adam","all_optimizer_count.RMSprop","all_optimizer_count.SGD","all_optimizer_count.agent","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent","optimizers_scores.Adam","optimizers_scores.RMSprop","optimizers_scores.SGD","optimizers_scores.agent","optimizers_scores.random_agent"
"feasible-sweep-24","b9mb8jl4","finished","-","tidiane","","2022-12-03T01:03:00.000Z","746","qmr074oo","0.25","15","0.01","97214","hard","","","","inverse","","0.21","","","","","","","","","0.01","0.74","0.04","0.21","0"
"golden-sweep-23","whvscye9","finished","-","tidiane","","2022-12-03T00:55:26.000Z","1570","qmr074oo","0.25","15","0.01","91342","hard","","","","inverse","","0.36","","","","","","","","","0.02","0.574","0.036","0.36","0.01"
"dandy-sweep-22","b9mb8jl4","finished","-","tidiane","","2022-12-03T00:46:40.000Z","498","qmr074oo","0.25","15","0.01","12894","hard","","","","inverse","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"visionary-sweep-21","whvscye9","finished","-","tidiane","","2022-12-03T00:43:40.000Z","703","qmr074oo","0.25","15","0.01","29856","hard","","","","inverse","","0.016","","","","","","","","","0.02","0.918","0.042","0.016","0.004"
"fancy-sweep-20","b9mb8jl4","finished","-","tidiane","","2022-12-03T00:38:00.000Z","518","qmr074oo","0.25","15","0.01","6937","hard","","","","lookahead","","0.01","","","","","","","","","0.01","0.92","0.04","0.01","0.02"
"woven-sweep-19","b9mb8jl4","finished","-","tidiane","","2022-12-03T00:29:56.000Z","478","qmr074oo","0.25","15","0.01","5122","hard","","","","inverse","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"polished-sweep-18","b9mb8jl4","finished","-","tidiane","","2022-12-03T00:20:41.000Z","550","qmr074oo","0.25","15","0.01","31853","hard","","","","inverse","","0.26","","","","","","","","","0.01","0.68","0.04","0.26","0.01"
"sparkling-sweep-17","whvscye9","finished","-","tidiane","","2022-12-03T00:20:21.000Z","1395","qmr074oo","0.25","15","0.01","80811","hard","","","","threshold","","0.35","","","","","","","","","0.02","0.588","0.036","0.35","0.006"
"bright-sweep-16","whvscye9","finished","-","tidiane","","2022-12-03T00:10:04.000Z","613","qmr074oo","0.25","15","0.01","3520","hard","","","","lookahead","","0.316","","","","","","","","","0.02","0.616","0.038","0.316","0.01"
"stoic-sweep-15","whvscye9","finished","-","tidiane","","2022-12-02T23:57:21.000Z","762","qmr074oo","0.25","15","0.01","43167","hard","","","","opposite","","0.014","","","","","","","","","0.022","0.912","0.042","0.014","0.01"
"fresh-sweep-14","hlxmlmq4","finished","-","tidiane","","2022-12-02T23:53:31.000Z","4168","qmr074oo","0.25","15","0.01","2836","hard","","","","lookahead","","0.02","","","","","","","","","0.01","0.93","0.04","0.02","0"
"soft-sweep-13","hlxmlmq4","finished","-","tidiane","","2022-12-02T23:31:26.000Z","1318","qmr074oo","0.25","15","0.01","60647","hard","","","","lookahead","","0.024","","","","","","","","","0.028","0.898","0.042","0.024","0.008"
"silver-sweep-12","whvscye9","finished","-","tidiane","","2022-12-02T23:27:47.000Z","1773","qmr074oo","0.25","15","0.01","73618","hard","","","","lookahead","","0.37","","","","","","","","","0.022","0.568","0.032","0.37","0.008"
"lively-sweep-11","hlxmlmq4","finished","-","tidiane","","2022-12-02T23:17:04.000Z","856","qmr074oo","0.25","15","0.01","54501","hard","","","","threshold","","0.024","","","","","","","","","0.028","0.9","0.04","0.024","0.008"
"soft-sweep-10","whvscye9","finished","-","tidiane","","2022-12-02T23:06:00.000Z","1301","qmr074oo","0.25","15","0.01","55972","hard","","","","lookahead","","0.022","","","","","","","","","0.022","0.908","0.032","0.022","0.016"
"mild-sweep-9","hlxmlmq4","finished","-","tidiane","","2022-12-02T23:03:30.000Z","807","qmr074oo","0.25","15","0.01","55699","hard","","","","opposite","","0.022","","","","","","","","","0.022","0.9","0.048","0.022","0.008"
"pious-sweep-8","whvscye9","finished","-","tidiane","","2022-12-02T22:54:08.000Z","709","qmr074oo","0.25","15","0.01","31000","hard","","","","threshold","","0.302","","","","","","","","","0.02","0.624","0.04","0.302","0.014"
"elated-sweep-7","hlxmlmq4","finished","-","tidiane","","2022-12-02T22:46:17.000Z","1030","qmr074oo","0.25","15","0.01","87777","hard","","","","inverse","","0.29","","","","","","","","","0.026","0.632","0.048","0.29","0.004"
